[2025-08-19 17:36:14] [INFO    ] discord.client: logging in using static token
[2025-08-19 17:36:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'guild_scheduled_events': [], 'afk_channel_id': None, 'banner': None, 'latest_onboarding_question_id': None, 'nsfw': False, 'mfa_level': 0, 'profile': None, 'verification_level': 0, 'rules_channel_id': None, 'channels': [{'version': 1724766635308, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Information', 'id': '1277988638185099375', 'flags': 0}, {'version': 1724780088906, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1277988638185099375', 'name': 'announcements', 'last_message_id': '1407334956203769886', 'id': '1277988638185099377', 'flags': 0}, {'version': 1724766635319, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1277988638185099378', 'flags': 0}, {'version': 1724780088921, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1277988638185099378', 'name': 'general', 'last_message_id': '1407322129539793059', 'id': '1277988638185099379', 'flags': 0}, {'version': 1724780088946, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1277988638185099378', 'name': 'events', 'last_message_id': None, 'id': '1277988638185099380', 'flags': 0}, {'version': 1724780088959, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1277988638185099378', 'name': 'ideas-and-feedback', 'last_message_id': None, 'id': '1277988638621433886', 'flags': 0}, {'version': 1724766635332, 'type': 4, 'position': 7, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1277988638621433887', 'flags': 0}, {'version': 1724766635337, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'parent_id': '1277988638621433887', 'name': 'Lounge', 'last_message_id': None, 'id': '1277988638621433888', 'flags': 0, 'bitrate': 64000}, {'version': 1724766635341, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'parent_id': '1277988638621433887', 'name': 'Community Hangout', 'last_message_id': None, 'id': '1277988638621433889', 'flags': 0, 'bitrate': 64000}, {'version': 1724766635343, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [], 'parent_id': '1277988638621433887', 'name': 'Stream Room', 'last_message_id': None, 'id': '1277988638621433890', 'flags': 0, 'bitrate': 64000}, {'version': 1724780088932, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1277988638185099378', 'name': 'goals', 'last_message_id': '1278046258707304468', 'id': '1278045034733633724', 'flags': 0}, {'version': 1739804385627, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1277988638185099378', 'name': 'ideas', 'last_message_id': '1341062298097291335', 'id': '1341061534842880043', 'flags': 0}], 'id': '1277988638185099374', 'members': [{'user': {'username': 'project_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1407321487827800085', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7517', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1407322128931356675'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-19T11:15:42.385117+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'hub_type': None, 'name': 'solara', 'premium_tier': 0, 'discovery_splash': None, 'soundboard_sounds': [], 'max_video_channel_users': 25, 'max_members': 25000000, 'safety_alerts_channel_id': None, 'home_header': None, 'owner_configured_content_level': 0, 'threads': [], 'premium_subscription_count': 0, 'afk_timeout': 300, 'preferred_locale': 'en-US', 'roles': [{'version': 1724767352691, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473734270529', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1277988638185099374', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1755604034088, 'unicode_emoji': None, 'tags': {}, 'position': 6, 'permissions': '2108859006582783', 'name': 'leader', 'mentionable': False, 'managed': False, 'id': '1277992077250269267', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 10038562}, 'color': 10038562}, {'version': 1755604179108, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Developer', 'mentionable': False, 'managed': False, 'id': '1278013695263244480', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}, {'version': 1755604179119, 'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '0', 'name': 'new role', 'mentionable': False, 'managed': False, 'id': '1278013862385553419', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1755604179110, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'ceo', 'mentionable': True, 'managed': False, 'id': '1278015181452214316', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1755604141359, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '0', 'name': 'board members', 'mentionable': True, 'managed': False, 'id': '1278015266915094630', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1755604179113, 'unicode_emoji': None, 'tags': {'bot_id': '1407321487827800085'}, 'position': 3, 'permissions': '563276639759424', 'name': 'project_bot', 'mentionable': False, 'managed': True, 'id': '1407322128931356675', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'public_updates_channel_id': None, 'owner_id': '1177120715040895077', 'voice_states': [], 'description': None, 'vanity_url_code': None, 'unavailable': False, 'system_channel_flags': 0, 'region': 'deprecated', 'large': False, 'embedded_activities': [], 'lazy': True, 'emojis': [], 'joined_at': '2025-08-19T11:15:42.385117+00:00', 'application_command_counts': {}, 'icon': 'f9cbbedbdc08ba3c063754f3a8d370b8', 'incidents_data': None, 'application_id': None, 'nsfw_level': 0, 'stage_instances': [], 'explicit_content_filter': 0, 'activity_instances': [], 'features': [], 'max_stage_video_channel_users': 50, 'member_count': 6, 'splash': None, 'moderator_reporting': None, 'presences': [], 'version': 1755603707519, 'stickers': [], 'inventory_settings': None, 'premium_progress_bar_enabled': False, 'default_message_notifications': 0, 'premium_features': None, 'system_channel_id': '1277988638185099379'}}
[2025-08-19 17:36:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 17:36:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'cbff302289eca251ad21d1e823c8736d', 'members': [{'user': {'username': 'ganesan_p', 'public_flags': 0, 'primary_guild': None, 'id': '834342092259459152', 'global_name': 'Ganesan', 'display_name_styles': None, 'display_name': 'Ganesan', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7ead884cd55a983cf2734068d1519eb5'}, 'roles': ['1278013695263244480', '1277992077250269267', '1278015181452214316', '1278015266915094630'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-27T14:09:44.017000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'mughilant', 'public_flags': 64, 'primary_guild': None, 'id': '857834396429320242', 'global_name': 'mughilant', 'display_name_styles': None, 'display_name': 'mughilant', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'e16def41479fb6f1ba0dc91b4473a523'}, 'roles': ['1277992077250269267', '1278015266915094630'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-27T13:51:23.698000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'mughil.', 'public_flags': 0, 'primary_guild': None, 'id': '964068764779945984', 'global_name': 'mughil', 'display_name_styles': None, 'display_name': 'mughil', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '06fca27be9cc1ab1812244e6793da075'}, 'roles': ['1277992077250269267', '1278015266915094630'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-27T15:01:28.992000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sarjun12', 'public_flags': 0, 'primary_guild': None, 'id': '1077479578542538773', 'global_name': 'sarjun', 'display_name_styles': None, 'display_name': 'sarjun', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '304b13b9f8a58f37d545810fa4350e23'}, 'roles': ['1277992077250269267', '1278015181452214316'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-27T14:19:12.725000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sarjun11_53798', 'public_flags': 0, 'primary_guild': None, 'id': '1177120715040895077', 'global_name': 'sarjun', 'display_name_styles': None, 'display_name': 'sarjun', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1277992077250269267'], 'premium_since': None, 'pending': False, 'nick': 'sarjun', 'mute': False, 'joined_at': '2024-08-27T13:50:35.275000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'project_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1407321487827800085', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7517', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1407322128931356675'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-19T11:15:42.385117+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1277988638185099374', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-19 17:36:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 17:36:16] [DEBUG   ] discord.state: Processed a chunk for 6 members in guild ID 1277988638185099374.
[2025-08-19 17:36:18] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-19 17:36:18] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-19 17:36:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '834342092259459152', 'timestamp': 1755605221, 'member': {'user': {'username': 'ganesan_p', 'public_flags': 0, 'primary_guild': None, 'id': '834342092259459152', 'global_name': 'Ganesan', 'display_name_styles': None, 'display_name': 'Ganesan', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7ead884cd55a983cf2734068d1519eb5'}, 'roles': ['1278013695263244480', '1277992077250269267', '1278015181452214316', '1278015266915094630'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-27T14:09:44.017000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1277988638185099377', 'guild_id': '1277988638185099374'}}
[2025-08-19 17:36:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 17:36:20] [DEBUG   ] discord.client: Dispatching event typing
[2025-08-19 17:36:20] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-08-19 17:36:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-19T12:07:05.568000+00:00', 'pinned': False, 'nonce': '1407334888503246848', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1278013695263244480', '1277992077250269267', '1278015181452214316', '1278015266915094630'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-27T14:09:44.017000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1407335061019168828', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll sarjun is best', 'components': [], 'channel_type': 0, 'channel_id': '1277988638185099377', 'author': {'username': 'ganesan_p', 'public_flags': 0, 'primary_guild': None, 'id': '834342092259459152', 'global_name': 'Ganesan', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '7ead884cd55a983cf2734068d1519eb5'}, 'attachments': [], 'guild_id': '1277988638185099374'}}
[2025-08-19 17:36:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 17:36:24] [DEBUG   ] discord.client: Dispatching event message
[2025-08-19 17:36:24] [DEBUG   ] discord.client: Dispatching event command
[2025-08-19 17:36:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-19T12:07:05.902000+00:00', 'pinned': False, 'nonce': '13188432337116384669', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1407322128931356675'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-19T11:15:42.385117+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1407335062420324394', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1407335062420324395', 'description': 'sarjun is best', 'content_scan_version': 0}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1277988638185099377', 'author': {'username': 'project_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1407321487827800085', 'global_name': None, 'display_name_styles': None, 'discriminator': '7517', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1277988638185099374'}}
[2025-08-19 17:36:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 17:36:25] [DEBUG   ] discord.client: Dispatching event message
[2025-08-19 17:36:25] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1277988638185099377/messages with {"embeds":[{"flags":0,"type":"rich","description":"sarjun is best","title":"New Poll"}],"content":null,"components":[],"nonce":"13188432337116384669","enforce_nonce":true,"tts":false} has returned 200
[2025-08-19 17:36:25] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-08-19 17:36:25] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1277988638185099377/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'sarjun is best', 'content_scan_version': 0}], 'timestamp': '2025-08-19T12:07:05.902000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1407335062420324394', 'channel_id': '1277988638185099377', 'author': {'id': '1407321487827800085', 'username': 'project_bot', 'avatar': None, 'discriminator': '7517', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '13188432337116384669'}
[2025-08-19 17:36:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 7, 'op': 0, 'd': {'user_id': '1407321487827800085', 'type': 0, 'message_id': '1407335062420324394', 'message_author_id': '1407321487827800085', 'member': {'user': {'username': 'project_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1407321487827800085', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7517', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1407322128931356675'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-19T11:15:42.385117+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1277988638185099377', 'burst': False, 'guild_id': '1277988638185099374'}}
[2025-08-19 17:36:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 17:36:25] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-19 17:36:25] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-19 17:36:25] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1277988638185099377/messages/1407335062420324394/reactions/%F0%9F%91%8D/@me with None has returned 204
[2025-08-19 17:36:25] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2025-08-19 17:36:25] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-08-19 17:36:25] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1277988638185099377/messages/1407335062420324394/reactions/%F0%9F%91%8D/@me has received 
[2025-08-19 17:36:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 8, 'op': 0, 'd': {'user_id': '1407321487827800085', 'type': 0, 'message_id': '1407335062420324394', 'message_author_id': '1407321487827800085', 'member': {'user': {'username': 'project_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1407321487827800085', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7517', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1407322128931356675'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-19T11:15:42.385117+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1277988638185099377', 'burst': False, 'guild_id': '1277988638185099374'}}
[2025-08-19 17:36:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 17:36:26] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-19 17:36:26] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-19 17:36:26] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1277988638185099377/messages/1407335062420324394/reactions/%F0%9F%91%8E/@me with None has returned 204
[2025-08-19 17:36:26] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-08-19 17:36:26] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1277988638185099377/messages/1407335062420324394/reactions/%F0%9F%91%8E/@me has received 
[2025-08-19 17:36:26] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-08-19 17:36:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 9, 'op': 0, 'd': {'user_id': '834342092259459152', 'type': 0, 'message_id': '1407335062420324394', 'message_author_id': '1407321487827800085', 'member': {'user': {'username': 'ganesan_p', 'public_flags': 0, 'primary_guild': None, 'id': '834342092259459152', 'global_name': 'Ganesan', 'display_name_styles': None, 'display_name': 'Ganesan', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7ead884cd55a983cf2734068d1519eb5'}, 'roles': ['1278013695263244480', '1277992077250269267', '1278015181452214316', '1278015266915094630'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-27T14:09:44.017000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1277988638185099377', 'burst': False, 'guild_id': '1277988638185099374'}}
[2025-08-19 17:36:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 17:36:27] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-19 17:36:27] [DEBUG   ] discord.client: Dispatching event reaction_add
